words,freq
自己,366
没有,247
知道,185
一个,184
真的,183
什么,182
还是,131
不想,128
现在,118
时候,110
可以,108
觉得,108
这个,107
世界,106
就是,104
希望,101
别人,97
可是,94
我们,93
活着,92
怎么,89
如果,88
不会,87
他们,85
难过,85
喜欢,80
为什么,80
今天,79
这么,79
感觉,79
这样,78
生活,76
不要,70
回家,70
开心,69
那么,67
已经,66
每天,65
不能,65
饭饭,64
痛苦,64
醒醒,63
因为,62
自杀,60
其实,60
不是,58
但是,58
一点,57
有人,53
害怕,52
怎么办,51
讨厌,50
好像,48
朋友,48
一样,47
只是,46
抑郁症,45
所以,45
还有,45
看到,44
是不是,43
没意思,43
难受,41
应该,41
大家,41
总是,41
很多,40
好好,39
人生,39
想要,38
不到,38
事情,38
一定,37
不敢,37
一天,37
努力,37
开始,37
对不起,37
离开,36
然后,36
你们,35
起来,35
说话,35
特别,35
告诉,33
一直,33
明天,33
这里,32
评论,31
突然,31
越来越,31
走饭,31
一起,31
到底,31
我要,31
还要,30
心里,30
东西,30
只有,29
不好,29
可能,29
出来,29
真是,29
那个,28
所有,28
这种,28
我会,27
微博,27
妈妈,26
死亡,26
下去,26
晚安,26
根本,26
绝望,26
地方,26
大概,26
最近,25
情绪,25
过去,25
一下,24
那些,24
睡觉,24
要是,23
非常,23
永远,23
发现,23
以后,23
不了,23
坚持,22
好累,22
终于,22
父母,22
明明,22
一切,22
一次,22
问题,21
以为,21
放弃,21
每次,21
快乐,21
状态,21
勇气,21
一些,21
死去,20
抑郁,20
这些,20
孤独,20
看看,20
办法,20
找到,20
下辈子,19
小号,19
的话,19
也许,19
不过,19
需要,19
羡慕,18
哈哈哈,18
心情,18
所有人,18
我怕,18
虽然,18
只能,18
还好,18
最后,18
好不好,18
不用,18
伤害,17
工作,17
感受,17
幸福,17
或许,17
没用,17
解脱,17
任何,17
自私,17
灵魂,17
变成,17
每个,16
为了,16
来看,16
医生,16
回来,16
样子,16
昨天,16
才能,16
或者,16
吃药,16
折磨,16
回去,16
意外,15
好多,15
美好,15
面对,15
失眠,15
晚上,15
崩溃,15
眼泪,15
留言,15
有些,15

杩樺ソ,18
鏈�鍚�,18
濂戒笉濂�,18
涓嶇敤,18
浼ゅ,17
宸ヤ綔,17
鎰熷彈,17
骞哥,17
鎴栬,17
娌＄敤,17
瑙ｈ劚,17
浠讳綍,17
鑷,17
鐏甸瓊,17
鍙樻垚,17
姣忎釜,16
涓轰簡,16
鏉ョ湅,16
鍖荤敓,16
鍥炴潵,16
鏍峰瓙,16
鏄ㄥぉ,16
鎵嶈兘,16
鎴栬��,16
鍚冭嵂,16
鎶樼（,16
鍥炲幓,16
鎰忓,15
濂藉,15
缇庡ソ,15
闈㈠,15
澶辩湢,15
鏅氫笂,15
宕╂簝,15
鐪兼唱,15
鐣欒█,15
鏈変簺,15
